Segment,Billing_Class,Site_Billing_Status,Site_Status,Consumption,Value_Unbilled,Billing_Frequency,UnbilledDays,RootCause,Voice_Attempt,target
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,93.22,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,93.22,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,76.47,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,76.47,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,12175,596.29,Q,157,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11444,550.03,Q,127,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,6414,576.46,Q,384,EMMA,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,367.21,Q,706,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,367.21,Q,706,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,349.61,Q,676,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,349.61,Q,676,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,331.43,Q,645,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,349.61,Q,676,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1344,97.18,Q,79,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1344,97.18,Q,79,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,76.29,Q,146,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,51529,2290.93,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,48781,2156.98,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,48781,2156.98,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,12668,707.87,Q,140,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,12668,707.87,Q,140,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,79.94,Q,153,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,79.94,Q,153,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,79.58,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,79.58,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,79.58,Q,143,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,138.48,Q,251,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,138.48,Q,251,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,121.93,Q,221,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,121.93,Q,221,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,121.93,Q,221,Impl Perm Est,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,7689,2173.75,Q,,Implausible,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,27538,1254.77,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,27538,1254.77,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,27538,1254,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,47.46,Q,194,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,47.46,Q,194,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,10.95,Q,164,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,10.95,Q,164,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,10.95,Q,164,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,21584,1507.47,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,20151,1382.32,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,20151,1382,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,20151,1382.32,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,76.47,Q,137,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,76014,3738.32,M,310,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,8975,365.39,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9721,415.75,M,128,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,8975,365.39,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,8975,365.39,M,98,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,9721,415.75,M,128,Impl Perm Est,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,295.21,Q,935,Impl Perm Est,Voice Call Done,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,16429,769.05,Q,156,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,16429,769.05,Q,156,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,12259,598.23,Q,139,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,13603,644.72,Q,143,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,28223,1754.39,Q,48,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2784,205.5,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,2656,184.38,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,2656,184.38,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,914,349.99,Q,564,Implausible,Voice Call Done,1
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,882,331.53,Q,533,Implausible,Voice Call Done,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,91716,4316.6,Q,1551,Implausible,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,92.94,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,92.94,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,76.24,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,76.24,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,284,17.24,Q,10,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,284,17.24,Q,10,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,96,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,96,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,79.44,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,79.44,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,79.44,Q,144,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,11,102.56,M,76,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11311,591.93,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,347.81,Q,625,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,347.81,Q,625,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,331.12,Q,595,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,331.12,Q,595,Impl Perm Est,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,4000.02,Q,,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,331.12,Q,595,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,52902,2753.95,Q,1272,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,52902,2753.95,Q,1272,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,52493,2719.58,Q,1242,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,52493,2719.58,Q,1242,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,52493,2719,Q,1242,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,1130.24,Q,815,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,1130.24,Q,815,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,1093.73,Q,785,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,1093.73,Q,785,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,1093,Q,785,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,1019.49,Q,724,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,509,237.09,M,163,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,509,237.09,M,163,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,260,109.54,M,71,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,7867,423.17,Q,157,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,7867,423.17,Q,157,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,7393,386.2,Q,127,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,75.24,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,75.24,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,90.92,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,90.92,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,75.24,Q,144,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,52,2.06,Q,182,No Root Cause Match,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,105295,4734,Q,924,No Root Cause Match,,1
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,105295,4734.77,Q,924,Business Exception,,1
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,102552,4485.48,Q,863,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,9502,482.84,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,24613,984.52,Q,138,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,21592,6441.55,M,,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,9625,471.07,Q,129,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,7.9,M,5,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,9822,392.87,Q,155,No Root Cause Match,,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,2847,124.78,Q,138,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,81.5,Q,146,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,56,68.82,M,119,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,67,86.03,M,149,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,67,86.03,M,149,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,56,68.82,M,119,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,56,68.82,M,119,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,3656,252.17,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,3656,252.17,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,3448,226.65,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,3448,226.65,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,3448,226.65,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,89.31,Q,160,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,72.57,Q,130,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,89.31,Q,160,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,11023,636.72,Q,144,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,14982,749.72,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,21610,970.56,Q,150,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,139572,5582.89,M,97,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,139572,5582.89,M,97,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,12635,629.54,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,12008,587.69,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,12008,587.69,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,12008,587.69,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,6837,273.49,Q,195,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,6837,273.49,Q,195,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,6837,273.49,Q,165,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,6837,273.49,Q,165,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,6837,273.49,Q,165,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Dead - Billed & Stop,Not assigned,6837,273.49,Q,134,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,77.35,Q,139,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,118.05,M,97,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,118.05,M,97,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,84.47,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,84.47,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,84.47,Q,144,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,102.07,Q,174,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1778,142.08,Q,88,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1778,142.08,Q,88,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1778,142.08,Q,88,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,9.96,Q,175,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,9.96,Q,175,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4483,292.75,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4483,292.75,Q,184,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4233,265.43,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4233,265.43,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4233,265.43,Q,154,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,784,110.66,Q,139,Business Exception,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,341423,14444,M,665,No Root Cause Match,Voice Call Done,1
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,214337,8573.47,Q,604,Implausible,Voice Call Done,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4618,228.36,Q,222,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,4618,228.36,Q,222,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2528,122.92,Q,192,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2528,122.92,Q,192,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2528,122.92,Q,192,Outsort,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,14232,640.46,Q,131,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,208.08,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,208.08,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,171.57,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,171.57,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1226,142.2,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1226,142.2,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1163,123.2,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,1163,123.2,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5367,344.88,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5367,344.88,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,5089,313.93,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,5089,313.93,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2814,212.51,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,2814,212.51,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,2641,188.46,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,2641,188.46,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,52767,2317.84,Q,139,No Root Cause Match,,0
Others,Small and Medium Enterprises,Not assigned,Dirty,0,102.87,Q,160,No Root Cause Match,,0
Others,Small and Medium Enterprises,Not assigned,Dirty,0,102.87,Q,160,No Root Cause Match,,0
Others,Small and Medium Enterprises,Not assigned,Clean,0,81.78,Q,130,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,56,74.38,M,95,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,12603,601.74,Q,132,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,33,101.01,Q,179,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,33,84.32,Q,149,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,33,84.32,Q,149,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,33,84.32,Q,149,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,138.48,Q,251,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,121.93,Q,221,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,138.48,Q,251,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,121.93,Q,221,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,121.93,Q,221,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,21351,892.84,Q,151,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,0,0,M,97,Lock -  Billing,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,0,0,M,97,Lock -  Billing,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,7.35,Q,179,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,7.35,Q,179,EMMA,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,4.63,Q,149,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,4.63,Q,149,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,4.63,Q,149,Outsort,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,13964,394.02,Q,544,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,13964,394.02,Q,544,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,2528,64.48,Q,514,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,2528,64.48,Q,514,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,2528,64.48,Q,514,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,71.63,Q,150,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,115.31,Q,209,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,115.31,Q,209,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,98.75,Q,179,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,98.75,Q,179,Impl Perm Est,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,98.75,Q,179,Impl Perm Est,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,13879,709.52,M,81,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,201250,7681.6,Q,572,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,201250,7681.6,Q,572,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,201250,7681.6,Q,542,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,201250,7681.6,Q,542,No Root Cause Match,,0
Others,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,201250,7681,Q,542,No Root Cause Match,,0
Medium Enterprise,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,201250,7681.6,Q,542,No Root Cause Match,,0
Medium Enterprise,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,201250,7681.6,Q,511,No Root Cause Match,,0
Medium Enterprise,Small and Medium Enterprises,Dead - Billed & Stop,Dirty,155784,6065.24,Q,481,No Root Cause Match,,0
Segment TBA,Small and Medium Enterprises,Live - Billed & Stop,Dirty,5704,442.14,M,95,No Root Cause Match,Voice Call Done,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,41053,1844.19,Q,267,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,41053,1844.19,Q,267,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,41053,1844,Q,267,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,6006,539.1,Q,144,No Root Cause Match,Voice Call Done,1
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1,355.6,M,401,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1,355.6,M,401,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1,319.09,M,371,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1,319.09,M,371,Implausible,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1,26613.95,M,,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,1,319.09,M,371,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,8729,468.1,Q,166,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,8729,468.1,Q,166,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,8225,429.1,Q,136,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,8225,429.1,Q,136,No Root Cause Match,,0
Small Enterprise,Small and Medium Enterprises,Live - Billed & Stop,Clean,21261,715.4,Q,132,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,26764,920.04,Q,193,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,22469,673.63,Q,223,Implausible,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,26764,920.04,Q,193,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,22469,673.63,Q,223,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,26764,920.04,Q,193,Outsort,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,88.48,Q,159,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,88.48,Q,159,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,71.79,Q,129,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,80.59,Q,149,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,92.94,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Dirty,0,92.94,Q,167,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,76.24,Q,137,No Root Cause Match,,0
Others,Small and Medium Enterprises,Live - Billed & Stop,Clean,0,76.24,Q,137,No Root Cause Match,,0
